Date : 2023-08-22 19:34:23
Directory : c:\Users\nohan\Desktop\Projects\Original\Tower Defense
Total : 64 files,  2326 codes, 45 comments, 396 blanks, all 2767 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         37 |      2,144 |         45 |        390 |      2,579 |
| JSON     |         27 |        182 |          0 |          6 |        188 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         64 |      2,326 |         45 |        396 |      2,767 |
| . (Files)                                                                                                        |          1 |         29 |          0 |          6 |         35 |
| data                                                                                                             |         27 |        182 |          0 |          6 |        188 |
| data\config                                                                                                      |          9 |        164 |          0 |          6 |        170 |
| data\graphics                                                                                                    |         17 |         17 |          0 |          0 |         17 |
| data\graphics\animations                                                                                         |         13 |         13 |          0 |          0 |         13 |
| data\graphics\animations\dagger_slash                                                                            |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\king_slime_walk_down                                                                    |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\king_slime_walk_side                                                                    |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\king_slime_walk_up                                                                      |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\mega_slime_walk_down                                                                    |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\mega_slime_walk_side                                                                    |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\mega_slime_walk_up                                                                      |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\player_dust                                                                             |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\player_idle_side                                                                        |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\player_walk_side                                                                        |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\slime_walk_down                                                                         |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\slime_walk_side                                                                         |          1 |          1 |          0 |          0 |          1 |
| data\graphics\animations\slime_walk_up                                                                           |          1 |          1 |          0 |          0 |          1 |
| data\graphics\test                                                                                               |          4 |          4 |          0 |          0 |          4 |
| data\graphics\test\anim                                                                                          |          4 |          4 |          0 |          0 |          4 |
| data\graphics\test\anim\idle                                                                                     |          1 |          1 |          0 |          0 |          1 |
| data\graphics\test\anim\player_idle_side                                                                         |          1 |          1 |          0 |          0 |          1 |
| data\graphics\test\anim\player_walk_side                                                                         |          1 |          1 |          0 |          0 |          1 |
| data\graphics\test\anim\walk                                                                                     |          1 |          1 |          0 |          0 |          1 |
| data\maps                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| scripts                                                                                                          |         36 |      2,115 |         45 |        384 |      2,544 |
| scripts (Files)                                                                                                  |         31 |      1,919 |         31 |        339 |      2,289 |
| scripts\entity_objs                                                                                              |          4 |        183 |         13 |         42 |        238 |
| scripts\weapon_objs                                                                                              |          1 |         13 |          1 |          3 |         17 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                         | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\entities.json                                 | JSON     |         22 |          0 |          0 |         22 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\hitboxes.json                                 | JSON     |          6 |          0 |          0 |          6 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\input.json                                    | JSON     |         22 |          0 |          0 |         22 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\items.json                                    | JSON     |         12 |          0 |          0 |         12 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\level_data.json                               | JSON     |         51 |          0 |          0 |         51 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\obst_hitboxes.json                            | JSON     |         14 |          0 |          0 |         14 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\towers.json                                   | JSON     |         19 |          0 |          6 |         25 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\weapons.json                                  | JSON     |         11 |          0 |          0 |         11 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\window.json                                   | JSON     |          7 |          0 |          0 |          7 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\dagger_slash\config.json         | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\king_slime_walk_down\config.json | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\king_slime_walk_side\config.json | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\king_slime_walk_up\config.json   | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_walk_down\config.json | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_walk_side\config.json | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_walk_up\config.json   | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_dust\config.json          | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_idle_side\config.json     | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_walk_side\config.json     | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_walk_down\config.json      | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_walk_side\config.json      | JSON     |          1 |          0 |          0 |          1 |
