"filename", "language", "Python", "CSV", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\entities.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\hitboxes.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\input.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 40
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\level_data.json", "JSON", 0, 0, 0, 0, -35, 0, 0, -35
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\obst_hitboxes.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\projectiles.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\towers.json", "JSON", 0, 0, 0, 0, 37, 0, -6, 31
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\death_sparks\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\knight_walk_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\knight_walk_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\knight_walk_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_die_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_die_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_die_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_die_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_die_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_die_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_die_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\Tiled Files\tutorial.tmx", "XML", 0, 0, 0, 313, 0, 0, 1, 314
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\collideables.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\decorations.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\ground.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 1, 5
